paper_id,title,summary,authors,categories,primary_category,published,updated,abs_url,pdf_url,comment,age_days,authors_joined,categories_joined,summary_chars,text_for_embedding
10.1145/3637528.3671815,Advanced Perspectives on Mitigating Ghost Vectors in Dense Retrieval via Idempotent Indexing,An extended empirical study on oft-deletions in vector databases leave orphaned embeddings that lead to hallucinations. This paper designs an idempotent index synchronization protocol that guarantees complete purges of outdated vector artifacts Further analysis on scaling parameters.,"['Duc Vu', 'Thao Dang']","['Databases', 'Information Systems']",Databases,2026-06-03,2026-06-03T10:00:00+00:00,https://doi.org/10.1145/3637528.3671815,,,114,"Duc Vu, Thao Dang","Databases, Information Systems",284,"Title: Advanced Perspectives on Mitigating Ghost Vectors in Dense Retrieval via Idempotent Indexing
Authors: Duc Vu, Thao Dang
Published: 2026-06-03
Categories: Databases, Information Systems
Summary: An extended empirical study on oft-deletions in vector databases leave orphaned embeddings that lead to hallucinations. This paper designs an idempotent index synchronization protocol that guarantees complete purges of outdated vector artifacts Further analysis on scaling parameters."
10.1145/3637528.3671814,Advanced Perspectives on Data Observability and Quality Gates for Production RAG Systems,An extended empirical study on ilent data corruption in RAG pipelines degrades LLM answer faithfulness without throwing runtime errors. We introduce automated quality gates using Great Expectations 1.x to catch stale and malformed embeddings before serving Further analysis on scaling parameters.,"['Anh Tran', 'Quoc Pham']","['Software Engineering', 'Data Systems']",Software Engineering,2026-06-02,2026-06-02T10:00:00+00:00,https://doi.org/10.1145/3637528.3671814,,,115,"Anh Tran, Quoc Pham","Software Engineering, Data Systems",296,"Title: Advanced Perspectives on Data Observability and Quality Gates for Production RAG Systems
Authors: Anh Tran, Quoc Pham
Published: 2026-06-02
Categories: Software Engineering, Data Systems
Summary: An extended empirical study on ilent data corruption in RAG pipelines degrades LLM answer faithfulness without throwing runtime errors. We introduce automated quality gates using Great Expectations 1.x to catch stale and malformed embeddings before serving Further analysis on scaling parameters."
10.1145/3637528.3671813,Advanced Perspectives on Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks,An extended empirical study on etrieval-Augmented Generation (RAG) significantly improves large language model accuracy by grounding responses in retrieved passages. We explore agentic multi-hop reasoning and routing across heterogeneous vector indices Further analysis on scaling parameters.,"['Minh Nguyen', 'Hoang Le']","['Artificial Intelligence', 'Information Retrieval']",Artificial Intelligence,2025-06-01,2026-06-01T10:00:00+00:00,https://doi.org/10.1145/3637528.3671813,,,481,"Minh Nguyen, Hoang Le","Artificial Intelligence, Information Retrieval",292,"Title: Advanced Perspectives on Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks
Authors: Minh Nguyen, Hoang Le
Published: 2025-06-01
Categories: Artificial Intelligence, Information Retrieval
Summary: An extended empirical study on etrieval-Augmented Generation (RAG) significantly improves large language model accuracy by grounding responses in retrieved passages. We explore agentic multi-hop reasoning and routing across heterogeneous vector indices Further analysis on scaling parameters."
10.1145/3637528.3671801,Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks,Retrieval-Augmented Generation (RAG) significantly improves large language model accuracy by grounding responses in retrieved passages. We explore agentic multi-hop reasoning and routing across heterogeneous vector indices.,"['Minh Nguyen', 'Hoang Le']","['Artificial Intelligence', 'Information Retrieval']",Artificial Intelligence,2025-05-20,2026-05-20T10:00:00+00:00,https://doi.org/10.1145/3637528.3671801,,,493,"Minh Nguyen, Hoang Le","Artificial Intelligence, Information Retrieval",223,"Title: Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks
Authors: Minh Nguyen, Hoang Le
Published: 2025-05-20
Categories: Artificial Intelligence, Information Retrieval
Summary: Retrieval-Augmented Generation (RAG) significantly improves large language model accuracy by grounding responses in retrieved passages. We explore agentic multi-hop reasoning and routing across heterogeneous vector indices."
10.1145/3637528.3671811,Hybrid Search Architectures: Combining BM25 with Dense Representations,Dense vector search excels at conceptual similarity but struggles with exact acronyms and serial numbers. Reciprocal Rank Fusion of sparse lexical scores and dense embeddings achieves optimal recall.,"['Dat Tran', 'Lan Pham']","['Information Retrieval', 'Algorithms']",Information Retrieval,2025-05-14,2026-05-14T09:30:00+00:00,https://doi.org/10.1145/3637528.3671811,,,499,"Dat Tran, Lan Pham","Information Retrieval, Algorithms",199,"Title: Hybrid Search Architectures: Combining BM25 with Dense Representations
Authors: Dat Tran, Lan Pham
Published: 2025-05-14
Categories: Information Retrieval, Algorithms
Summary: Dense vector search excels at conceptual similarity but struggles with exact acronyms and serial numbers. Reciprocal Rank Fusion of sparse lexical scores and dense embeddings achieves optimal recall."
10.1145/3637528.3671806,Semantic Layer Integration for Agentic Text-to-SQL Pipelines,"Connecting LLMs directly to raw warehouse tables often results in schema misunderstandings. A governed semantic layer standardizes business metric definitions, dramatically boosting SQL generation accuracy.","['Huy Dinh', 'Trang Vo']","['Databases', 'Information Systems']",Databases,2025-05-02,2026-05-02T13:20:00+00:00,https://doi.org/10.1145/3637528.3671806,,,511,"Huy Dinh, Trang Vo","Databases, Information Systems",206,"Title: Semantic Layer Integration for Agentic Text-to-SQL Pipelines
Authors: Huy Dinh, Trang Vo
Published: 2025-05-02
Categories: Databases, Information Systems
Summary: Connecting LLMs directly to raw warehouse tables often results in schema misunderstandings. A governed semantic layer standardizes business metric definitions, dramatically boosting SQL generation accuracy."
10.1145/3637528.3671809,Chunking Strategies for Technical Documentation Retrieval,Hierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows.,"['Long Trinh', 'Ha Chu']","['Information Retrieval', 'Natural Language Processing']",Information Retrieval,2025-04-30,2026-04-30T17:05:00+00:00,https://doi.org/10.1145/3637528.3671809,,,513,"Long Trinh, Ha Chu","Information Retrieval, Natural Language Processing",197,"Title: Chunking Strategies for Technical Documentation Retrieval
Authors: Long Trinh, Ha Chu
Published: 2025-04-30
Categories: Information Retrieval, Natural Language Processing
Summary: Hierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows."
10.1145/3637528.3671803,Mitigating Ghost Vectors in Dense Retrieval via Idempotent Indexing,Soft-deletions in vector databases leave orphaned embeddings that lead to hallucinations. This paper designs an idempotent index synchronization protocol that guarantees complete purges of outdated vector artifacts.,"['Duc Vu', 'Thao Dang']","['Databases', 'Information Systems']",Databases,2025-04-18,2026-04-18T09:15:00+00:00,https://doi.org/10.1145/3637528.3671803,,,525,"Duc Vu, Thao Dang","Databases, Information Systems",215,"Title: Mitigating Ghost Vectors in Dense Retrieval via Idempotent Indexing
Authors: Duc Vu, Thao Dang
Published: 2025-04-18
Categories: Databases, Information Systems
Summary: Soft-deletions in vector databases leave orphaned embeddings that lead to hallucinations. This paper designs an idempotent index synchronization protocol that guarantees complete purges of outdated vector artifacts."
10.1145/3637528.3671805,Evaluating Retrieval Precision with Token F1 and LLM Judges,"Evaluating open-domain QA requires robust metrics. We benchmark semantic similarity, token-level overlap F1, and model-based judge verdicts to quantify RAG answer correctness across noisy corpus conditions.","['Tuan Phan', 'Mai Bui']","['Natural Language Processing', 'Evaluation Methodology']",Natural Language Processing,2025-03-28,2026-03-28T11:45:00+00:00,https://doi.org/10.1145/3637528.3671805,,,546,"Tuan Phan, Mai Bui","Natural Language Processing, Evaluation Methodology",206,"Title: Evaluating Retrieval Precision with Token F1 and LLM Judges
Authors: Tuan Phan, Mai Bui
Published: 2025-03-28
Categories: Natural Language Processing, Evaluation Methodology
Summary: Evaluating open-domain QA requires robust metrics. We benchmark semantic similarity, token-level overlap F1, and model-based judge verdicts to quantify RAG answer correctness across noisy corpus conditions."
10.1145/3637528.3671824,Advanced Perspectives on Continuous Benchmark Evaluation for Enterprise Retrieval Pipelines,,"['Quang Le', 'Yen Vu']","['Evaluation Methodology', 'Enterprise Systems']",Evaluation Methodology,2026-06-12,2026-06-12T10:00:00+00:00,https://doi.org/10.1145/3637528.3671824,,,105,"Quang Le, Yen Vu","Evaluation Methodology, Enterprise Systems",0,"Title: Advanced Perspectives on Continuous Benchmark Evaluation for Enterprise Retrieval Pipelines
Authors: Quang Le, Yen Vu
Published: 2026-06-12
Categories: Evaluation Methodology, Enterprise Systems
Summary: "
10.1145/3637528.3671823,Advanced Perspectives on Hybrid Search Architectures: Combining BM25 with Dense Representations,,"['Dat Tran', 'Lan Pham']","['Information Retrieval', 'Algorithms']",Information Retrieval,2026-06-11,2026-06-11T10:00:00+00:00,https://doi.org/10.1145/3637528.3671823,,,106,"Dat Tran, Lan Pham","Information Retrieval, Algorithms",0,"Title: Advanced Perspectives on Hybrid Search Architectures: Combining BM25 with Dense Representations
Authors: Dat Tran, Lan Pham
Published: 2026-06-11
Categories: Information Retrieval, Algorithms
Summary: "
